identifier,name
7005367578,"Gans, Joshua S."
7005395184,"Phipps, Shelley A."
7005495409,"Fulton, M. E."
7005519219,"Swinnen, Johan F.M."
7005523445,"Dwyer, Larry Michael"
7005530173,"Erdoǧan, Murat Faik"
7005579308,"Greenstone, Michael"
7005593972,"Moretti, Enrico"
7005646972,"Ottaviani, Marco"
7005665190,"Basu, Kaushik"
7005665190,"Basu, Kaushik"
7005665190,"Basu, Kaushik"
7005673524,"Ettner, Susan Louise"
7005674677,"Shogren, Jason F."
7005686587,"Kane, Edward J."
7005703248,"Rozelle, Scott D."
7005708650,"van Reenen, John V."
7005716141,"Farber, Henry S."
7005716141,"Farber, Henry S."
7005716141,"Farber, Henry S."
7005725549,"Engle, Robert F."
7005725549,"Engle, Robert F."
7005740338,"Wooldridge, Jeffrey M."
7005745384,"Ferraro, Paul J."
7005777390,"Fields, Gary S."
7005785064,"Rey, Hélène"
7005785064,"Rey, Hélène"
7005790571,"Prescott, Edward C."
7005803595,"Beach, Charles M."
7005939120,"Myerson, Roger B."
7005939120,"Myerson, Roger B."
7005957829,"Ronald, Pamela C."
7005974111,"Conley, Timothy G."
7005985542,"Phelps, Edmund Strother"
7005986497,"Lundberg, Shelly J."
7005986497,"Lundberg, Shelly J."
7006055171,"Barros, Pedro Pita"
7006069611,"Batten, Jonathan A."
7006121563,"Posner, Eric A."
7006187683,"Hendry, David F."
7006187683,"Hendry, David F."
7006231932,"Aly, Hassan Youssef"
7006260036,"Conlon, Christopher P."
7006261231,"Bean, Charles R."
7006264503,"Rosengren, Eric S."
7006272913,"Van Doorslaer, Eddy K.A."
7006281660,"Case, Anne C."
7006281660,"Case, Anne C."
7006281660,"Case, Anne C."
7006281660,"Case, Anne C."
7006286384,"Hausman, Jerry A."
7006310305,"Hausmann, Ricardo"
7006313177,"Yoshino, Naoyuki"
7006313177,"Yoshino, Naoyuki"
7006357385,"de Paula, Áureo"
7006374641,"Weersink, Alfons J."
7006395526,"Tambe, Milind"
7006423146,"Audretsch, David B."
7006441259,"Khanna, Madhu"
7006448803,"Lehrer, Ehud"
7006464178,"Che, Yeon-Koo"
7006464178,"Che, Yeon-Koo"
7006560233,"Gonçalves, Sílvia"
7006567277,"Krishnamurthi, Shriram"
7006582640,"Shinnar, Shlomo H."
7006659721,"Safran, Dana Gelb"
7006669782,"Brouwer, Werner B.F."
7006675728,"Cameron, Lisa"
7006709011,"Card, David E."
7006709011,"Card, David E."
7006709011,"Card, David E."
7006709011,"Card, David E."
7006709011,"Card, David E."
7006715604,"Strange, William C."
7006735812,"Viscusi, W. Kip"
7006749329,"Sculpher, Mark John S."
7006790368,"Restuccia, Diego"
7006790368,"Restuccia, Diego"
7006813599,"Calvo, Guillermo A."
7006824462,"Sweetman, Arthur"
7006834393,"Dickey, David A."
7006983822,"Schnitzer, Monika E."
7006983822,"Schnitzer, Monika E."
7007009430,"Neary, J. Peter"
7007030649,"Persson, Torsten"
7007030649,"Persson, Torsten"
7007064663,"Devereux, Michael P."
7007064663,"Devereux, Michael P."
7007084092,"Milligan, Kevin"
7007129435,"DeMartino, George F."
7007153530,"Buti, Marco"
7101603807,"de la Torre, Augusto"
7101648099,"Feenstra, Robert C."
7101664262,"Kremer, Michael R."
7101692016,"Norton, Edward C."
7101816484,"Manning, Alan"
7101840919,"Meade, Richard"
7101840919,"Meade, Richard"
7101855062,"Sinn, Hans Werner"
7101887682,"Dahl, Gordon B."
7101898013,"Marsh, Thomas L."
7101926169,"Sachs, Jeffrey David"
7101962367,"Finkelstein, Amy N."
7101971287,"Gruber, Jonathan"
7101971287,"Gruber, Jonathan"
7102089902,"Robson, Arthur J."
7102127911,"Hassan, Rashid M."
7102164634,"Woods, Ngaire"
7102174257,"Goodwin, Barry K."
7102224712,"Sumner, Daniel A."
7102251458,"Pauly, Mark V."
7102329155,"Wing, Jeannette M."
7102389013,"Ventura, Jaume"
7102421705,"Sloan, Frank A."
7102496733,"Hansson, Helena"
7102515412,"Allen, Franklin"
7102560741,"Robin, Jean Marc"
7102588421,"Johansson, Robert C."
7102596142,"Bhattacharya, Jay"
7102637898,"Sims, Christopher A."
7102637898,"Sims, Christopher A."
7102637898,"Sims, Christopher A."
7102694852,"McCloskey, Donald Nansen"
7102717861,"Crémer, Jacques"
7102733401,"Cutler, David M."
7102737699,"Heckman, James J."
7102737699,"Heckman, James J."
7102737699,"Heckman, James J."
7102737699,"Heckman, James J."
7102737699,"Heckman, James J."
7102740393,"Swanson, Norman Rasmus"
7102763125,"Diamond, Peter A."
7102763125,"Diamond, Peter A."
7102763125,"Diamond, Peter A."
7102771655,"Barnett, William A."
7102777189,"Lyons, Bruce R."
7102895871,"Todd, Petra E."
7102895871,"Todd, Petra E."
7102895871,"Todd, Petra E."
7102924995,"Krueger, Anne O."
7102933565,"Feldstein, Martin S."
7102945561,"McElwain, Terry F."
7102951338,"Griffith, Rachel"
7102951338,"Griffith, Rachel"
7102951338,"Griffith, Rachel"
7102951338,"Griffith, Rachel"
7102955788,"Prabhakar, Balaji"
7102997673,"Gillman, Max"
7103007155,"Spence, A. Michael"
7103009572,"Engel, Eduardo"
7103036986,"Berman, Eli"
7103039821,"Forbes, Kristin J."
7103056031,"Ichimura, Hidehiko"
7103063283,"Tomkins, Alannah"
7103066908,"Giles, David E.A."
7103077959,"Summers, Lawrence H."
7103128548,"Flannery, Mark J."
7103166493,"Morelli, Massimo"
7103183615,"Vickers, John S."
7103193296,"Ichimura, Shin'ichi"
7103197968,"Keane, Michael P."
7103197968,"Keane, Michael P."
7103223500,"Wallis, John Joseph"
7103300698,"Galbraith, James K."
7103300698,"Galbraith, James K."
7103331291,"Segal, Ilya R."
7103340382,"Abel, Jaison R."
7103404192,"McCluskey, Jill J."
